asset_number,title,original_department,added_department
342,Positive Displacement Pipette 3-25ul,QC,
343,Positive Displacement Pipette 10-100ul,QC,
344,Positive Displacement Pipette 10-100ul,QC,
345,Positive Displacement Pipette 100-1000ul,QC,
346,Positive Displacement Pipette 100-1000ul,QC,
347,System 200 Wave bioreactor,,
348,System 20/50 Wave bioreactor,,
349,System 20/50 Wave bioreactor,PD,
350,System 20/50 Wave bioreactor,PD,
351,Water Bath,,
352,Fluke Multimeter 77III,EN,
353,Fluke Multimeter 77III,EN,
356,-80 Freezer,BD,
357,Microcentrifuge (Microfuge 18),,
358,Microcentrifuge (eppendorf 5415D0,,
359,Inverted Phase Microscope,,
360,100 HR Timer,,
361,Pipettor (2-20 ulL) Single Channel,,
362,Pipettor (single channel; 20-200 uL),,
363,Pipettor (single channel; 100-1000 uL),,
364,Multichannel Pipettor (12 channel; 20-200 uL),,
365,Single Channel Pipettor (100-1000uL),BD,
366,Pipettor (single channel; 20-200uL),BD,
367,Pipettor (single channel; 2-20uL),BD,
369,Multichannel Pipettor (12 channel; 5-50uL),BD,
370,Pipettor (single channel; 100-1000uL),BD,
371,Pipettor (single channel; 20-200uL),BD,
372,Pipettor (single channel; 2-20uL),BD,
373,Pipettor (single channel; 0.5-10uL),BD,
374,Pipettor (12 channel; 250uL; Impact2; electric),BD,
375,Pipettor (single channel; 100-1000uL),BD,
376,Pipettor (single channel; 20-200uL),BD,
379,Multichannel pipettor (12 channel; 30-300uL); Finnipipette Novus; electric,BD,
381,MiniKros Pilot Pump System w/ Integrated Pressure Monitoring,,MF
382,MiniKros Pilot Pump System w/ Integrated Pressure Monitoring,,MF
383,Digital Long Stem Thermometer,PD,
387,Pipettor (12 channel; 850uL; Impact2),,
388,Sensory Input Module for Kaye Validator 2000,EN,
389,Sensory Input Module for Kaye Validator 2000,EN,
390,Intelligent Resistance Temperature Determination (IRTD) Probe,EN,
392,Kaye Validator 2000,EN,
393,FTIR Spectrometer,QC,
394,UV Spectrophotometer,QC,
395,Refridgerated Incubator / Stability Chamber,QC,
396,-80 deg Freezer,QC,
397,Vortexer,,
398,Digital Timer,,
399,Digital Timer,,
400,Column Manometer,PD,
401,Column Manometer,PD,
402,BPG 20cm Column,PD,
403,BPG 20cm Column,,
404,Industrial UV Flow Cell,,
405,Industrial UV Flow Cell,,
406,Uvis-920 Monitor,,
407,Uvis-920 Monitor,PD,
408,Visco Pro 2000; Viscometer,,
412,BPG 30cm Column,,
413,Heat Block,QC,
414,Industrial Flow Cell,,
416,NIST Thermometer,,
417,NIST Thermometer,,
418,NIST Thermometer,,
419,BioHit Proline 12-channel pipettor; 50 to 300uL,,
420,Electronic Display for Floor Scale,,
421,Floor Scale,,
422,Thermometer,,
423,VWR Incubator with C02,,
424,Forma Scientific Incubator #12,,
425,Forma Scientific Incubator #10,,
426,BPG 10cm Column,,
427,Superose 12 10/300GL,,
428,Superose 12 10/300GL,,
429,Sanyo Refrigerator 2-8°C,QC,
430,-80 deg Freezer,,
431,BPG 100/500 Column,PD,
432,Chart Recorder,,
433,Honeywell Chart Recorder,,
434,Biacore T100,,
435,Biohit Proline Pipettor 12-channel; 5-50uL,,
436,Digital Timer,,
437,Digital Timer,,
438,Digital Timer,,
439,Digital Timer,,
440,-20 freezer,MM,
441,Sanyo -20 freezer,,
443,"""6"""" Circular Chart Recorder""",,
445,Pipette; Multichannel,BD,
446,Pipette; Multichannel (50-300),BD,
447,Pipette (P-200),BD,
450,Size exclusion column,,
451,Polystyrene Traceable Reference Material,QC,
452,Single Channel BioHit Pipettor; 0.5 to 10uL,,
453,Single Channel BioHit Pipettor; 2 to 20uL,,
454,Single Channel BioHit Pipettor; 20 to 200uL,,
455,Single Channel BioHit Pippettor; 100uL to 1mL,,
456,Minus 80 deg Freezer,,
457,Chart Recorder,,
458,Upright Freezer 21 cu ft,,
459,-80 deg Freezer,,
460,Balance,,
461,Balance,,
462,Balance,,
463,Balance,,
464,Refrigerator/Freezer,,
466,Pipette (0.5ul-10ul),BD,
467,Pipette (20ul-200ul),BD,
468,Pipette (100ul-1000ul),BD,
469,Pipette (2ul-20ul),BD,
470,2-20ul pipette,BD,
472,Finn pipette 12 channel 50-300ul,BD,
473,Finn pipette 12 channel 5-50ul,BD,
